sample,transformed_min,transformed_max,voxel_min,voxel_max,h1_min,h1_max,l2_min,l2_max
0,0.10304404673811629,6.311399530102917,0.1039172416474104,6.1054566339545175,-0.023708290354610632,2.767414974177365,0.5036375433122829,2.537608306895819
1,0.06269008390692093,4.607315779523424,0.06797721022251813,4.586012676779276,-0.16828603221991245,2.557902723074519,0.18958305491008315,2.5351090446815796
2,0.07707833035588679,7.067295222786755,0.08116414346946949,6.995702810665531,-0.782428421869102,5.743110952706735,0.16461073108267202,3.194532308454101
3,0.2891624918027624,15.441382716435244,0.2997881275134864,15.327191407097013,-0.40179792668455117,6.666453921554239,0.46589650142381067,8.414079124293963
4,0.17842367060989955,7.729558933932822,0.1788689186648886,7.450895486017576,0.14960195699805473,2.9776431923108406,0.3210262869941358,5.563732142801079
5,0.11991878397960169,7.186631194090338,0.12296602763388474,7.143508205037334,0.017097707105565376,7.8748636850724285,0.13422158643180582,6.398938154409966
6,0.06262535195239505,2.9791146539786837,0.06290047814909126,2.979114653261116,0.024380094818441,1.8441971767496703,0.11474180500448149,2.1252163947064795
7,0.06506596867983452,6.414291535598202,0.06590138634172722,6.211469496365575,-0.45470980684622875,2.9066651167661686,0.13876816591439814,4.086984521977506
8,0.3202957801273597,12.97484569512421,0.32573739166552723,12.626404780654564,-0.44514542289430986,3.049590906925914,0.5057728293217296,2.6266509438870393
9,0.10020510651802181,16.992686880674768,0.10555876845858257,16.848744664536788,-0.020985290538630706,13.772901053098241,0.18869500664058056,11.048893842603233
10,0.09498842297381918,8.596847111064282,0.10957739988376455,8.294639199780534,-0.15812128695805244,5.659135529650273,0.1629273340738049,3.843508846522643
11,0.07362871808145104,8.168869228064155,0.07579773633308681,7.977769246333404,0.07426274456332979,6.4286653140971275,0.12031829117938828,4.957344527557949
12,0.0805576624160983,7.796667561243063,0.08345497724073891,7.369142350175589,-0.43438408379633664,2.1237282537114384,0.18608657120290234,2.442344657187646
13,0.04624234579054849,10.114533763321633,0.052371241160453365,9.899892287919656,0.09198046327919557,5.546921048705865,0.12166172241651418,7.348617645633482
14,0.04331937327059706,5.233971464476096,0.044040865518481194,5.096601029197722,-0.05452844390885271,5.200543249123895,0.07035545708335318,3.2166730203732845
15,0.03888320569613256,20.21087637768925,0.04448638335442181,19.511707238451212,-0.33536388314298493,11.447718835202815,0.09194054810639157,14.688477375267029
16,0.11439364151959208,3.7977421136023097,0.11873090510129901,3.7409888981115382,0.0762415913420733,2.039138891604665,0.1317992853390442,2.3332029158315786
17,0.04312795697936739,3.442531517197924,0.04637839998326692,3.2884216816490643,-0.1806983413577321,2.2201734408606066,0.07528127171658905,1.8661793021420272
18,0.15906924921693222,9.627924035146451,0.16294199768842732,9.387010668894579,-0.38784580914873695,6.643786320267951,0.36503978296043693,7.562433896890018
19,0.290198407677314,8.453244214680314,0.2999374448987557,8.081621020034918,-0.11645335304357829,3.8010703605326253,0.3557250747258983,5.080923837651534
20,0.13215508663063275,5.1307255568110435,0.13988222828766264,5.007406707279414,0.21739811900123115,2.57916694478554,0.2388525994514096,3.031997344674926
21,0.24616334888607555,13.198773679834899,0.25367120042689045,12.609063635270065,0.2518559461876974,6.331931387688011,0.4309466955658362,12.68895974461742
22,0.04096534040634996,5.330109639806019,0.04277683136632329,5.21873595043732,-0.5571836853615868,4.854751406633175,0.07121297844086005,3.996155558190075
23,0.1374647012532872,10.334225546002601,0.14454910632198556,9.820164196164605,-0.040281448060409716,4.735441277342914,0.3667048026894406,3.3823253327492275
24,0.10779266505745397,3.162581446803781,0.11349808046892797,3.0899964122134533,-0.7459735257653911,1.9929783754617099,0.23228265574697096,1.6553249802927636
25,0.07421961346259819,11.465128734393318,0.08067025618921378,10.775270747443987,-1.1299921622805875,6.8398432702547405,0.1102386872767751,6.3191915530676
26,0.13724500480253846,8.451111141176648,0.13980166294306084,8.216724643665382,0.27573675410337467,4.748633289574554,0.30653372924677996,6.1318333869521515
27,0.06321796541987658,9.457765821069,0.06375886420157972,9.44290622302086,-0.5265700138485613,3.5907103548842088,0.19215468122491902,2.0701275195277864
28,0.1644934391011586,17.744816914250613,0.16530870199509787,16.69542944867102,-1.8455691567780388,8.041145656303343,0.36646746081816217,11.002628825831897
29,0.14413262187212234,8.737133494425224,0.14450891095938417,8.62976184686767,-0.23793782667959415,6.177630867499172,0.5901157172912149,6.9663266612458905
30,0.07331293173344042,5.067240255202223,0.07479754797504456,4.851462106368669,-0.13807578937159914,2.86116175994234,0.3874141116585839,3.9600150694376834
31,0.14555893637001308,12.342901784552318,0.14914013027572712,10.832532050206837,-1.0614739658966892,3.4907257995138843,0.3204365951216984,2.929735834805067
32,0.09680083339324799,21.53630915701944,0.1060454620504864,21.08426955237283,0.11222858022032464,8.78340332771253,0.2112355673431473,18.35671866988145
33,0.13594619513226233,5.823252898288387,0.1404985702311018,5.46600904507766,-0.25332717940003857,2.8524661558093265,0.1736113974195942,4.170160538729942
34,0.04481506547825786,2.666233025661697,0.04803762293514196,2.609938666394728,-0.30867955042525064,1.8132276281856214,0.07820923056432567,2.152025842581261
35,0.12630669293204647,6.676625061325923,0.12877975106003153,6.533175080523984,-0.21777665559038223,3.5413174240005265,0.1857739361230059,5.955850433333334
36,0.08349389994450186,7.289723550652786,0.08356379851999758,6.890109174457774,0.07112482759688296,3.0200368446488577,0.16785277276972183,3.882838386047602
37,0.07302759093200278,9.266796318388971,0.08046825075007906,8.776402916565555,0.11242820675878613,2.8028764259399925,0.1489595716330232,4.373869178934509
38,0.1514902868663302,11.966714709776118,0.16480903746450126,11.901330596119285,0.0382189924780308,15.72593771244277,0.304245348423396,8.880069042770712
39,0.05015066287256984,5.273785673100039,0.051625716870709965,5.032860299232123,-1.5025622585342209,3.0431361651267954,0.07480058275046245,3.102434242456036
